id	hdi	sub1	sub2	sub3	sub4
1	0,996	0,998	0,999	0,999	0,990
2	0,994	0,999	0,980	0,998	0,998
3	0,993	0,994	0,992	0,993	0,995
4	0,992	0,991	0,999	0,990	0,990
5	0,992	0,989	1,000	0,983	0,997
6	0,992	0,991	0,990	0,991	0,995
7	0,991	0,977	0,997	0,997	0,993
8	0,990	0,987	0,997	0,984	0,993
9	0,990	0,989	0,984	0,996	0,990
10	0,989	0,982	0,990	0,993	0,993
11	0,989	0,988	0,991	0,982	0,994
12	0,987	0,987	0,981	0,991	0,990
13	0,987	0,995	0,995	0,993	0,965
14	0,987	0,984	0,997	0,987	0,981
15	0,987	0,997	0,979	0,990	0,982
16	0,987	0,985	0,986	0,995	0,981
17	0,986	0,985	0,986	0,983	0,990
18	0,985	0,997	0,969	0,992	0,981
19	0,985	0,996	1,000	0,981	0,962
20	0,984	0,969	0,999	0,979	0,990
21	0,984	0,984	0,992	0,991	0,971
22	0,984	0,967	1,000	0,990	0,981
23	0,984	0,968	0,999	0,994	0,975
24	0,984	0,968	0,987	0,990	0,990
25	0,984	0,978	0,998	0,983	0,975
26	0,981	0,972	0,997	0,989	0,966
27	0,981	0,989	0,997	0,957	0,980
28	0,981	0,965	0,998	0,994	0,965
29	0,980	0,946	1,000	0,983	0,990
30	0,980	0,984	0,999	0,986	0,949
31	0,979	0,943	0,996	0,987	0,991
32	0,979	0,971	0,979	0,982	0,985
33	0,976	0,988	0,945	0,981	0,990
34	0,975	0,964	0,984	0,982	0,969
35	0,975	0,992	0,943	0,970	0,993
36	0,975	0,928	0,988	0,993	0,990
37	0,973	0,970	0,952	0,982	0,989
38	0,972	0,995	0,974	0,983	0,937
39	0,970	0,930	0,982	0,986	0,984
40	0,969	0,998	0,984	0,947	0,948
41	0,969	0,966	0,944	0,978	0,990
42	0,969	0,927	0,986	0,978	0,987
43	0,969	0,957	0,954	0,979	0,986
44	0,968	0,915	0,995	0,982	0,981
45	0,967	0,976	0,983	0,980	0,930
46	0,967	0,990	0,929	0,982	0,967
47	0,965	0,989	0,968	0,970	0,934
48	0,965	0,893	0,998	0,988	0,982
49	0,964	0,980	0,942	0,967	0,967
50	0,964	0,978	0,988	0,975	0,914
51	0,961	0,905	0,991	0,990	0,958
52	0,958	0,961	0,989	0,965	0,917
53	0,957	0,927	0,959	0,950	0,993
54	0,956	0,944	0,955	0,963	0,960
55	0,955	0,979	0,892	0,963	0,986
56	0,954	0,902	0,986	0,987	0,940
57	0,951	0,968	0,933	0,986	0,917
58	0,948	0,929	0,974	0,980	0,910
59	0,947	0,939	0,912	0,970	0,966
60	0,946	0,951	0,924	0,955	0,956
61	0,942	0,939	0,918	0,952	0,960
62	0,940	0,984	0,984	0,988	0,805
63	0,940	0,971	0,884	0,959	0,945
64	0,939	0,958	0,896	0,942	0,960
65	0,939	0,951	0,949	0,955	0,900
66	0,938	0,974	0,869	0,955	0,952
67	0,938	0,920	0,941	0,969	0,921
68	0,937	0,953	0,928	0,970	0,895
69	0,935	0,999	0,843	0,937	0,962
70	0,933	0,987	0,821	0,954	0,971
71	0,930	0,991	0,851	0,945	0,932
72	0,928	0,991	0,828	0,975	0,920
73	0,923	0,879	0,969	0,943	0,901
74	0,921	0,868	0,945	0,976	0,894
75	0,919	0,999	0,797	0,916	0,962
76	0,916	0,973	0,853	0,915	0,921
77	0,913	0,963	0,938	0,962	0,788
78	0,909	0,947	0,855	0,964	0,870
79	0,909	0,830	0,901	0,980	0,925
80	0,902	0,865	0,936	0,961	0,847
81	0,900	0,973	0,739	0,915	0,972
82	0,892	0,826	0,939	0,964	0,838
83	0,891	0,891	0,909	0,930	0,836
84	0,886	0,991	0,726	0,897	0,928
85	0,870	0,940	0,854	0,936	0,750
86	0,864	0,987	0,671	0,856	0,941
87	0,860	0,748	0,850	0,898	0,946
88	0,850	0,953	0,783	0,912	0,753
89	0,847	0,876	0,715	0,914	0,881
90	0,833	0,970	0,695	0,875	0,791
91	0,816	0,917	0,583	0,922	0,842
92	0,816	0,915	0,713	0,847	0,787
93	0,815	0,918	0,528	0,841	0,974
94	0,812	0,959	0,727	0,862	0,699
95	0,810	0,941	0,869	0,893	0,536
96	0,791	0,821	0,758	0,820	0,764
97	0,778	0,962	0,588	0,900	0,662
98	0,777	0,987	0,659	0,942	0,519
99	0,746	0,737	0,520	0,870	0,859
100	0,739	0,987	0,574	0,844	0,553
101	0,728	0,515	0,734	0,867	0,797
102	0,716	0,794	0,521	0,816	0,733
103	0,714	0,657	0,511	0,826	0,860
104	0,670	0,857	0,706	0,668	0,448
105	0,659	0,864	0,506	0,779	0,486
106	0,654	0,725	0,549	0,732	0,610
107	0,641	0,949	0,287	0,653	0,675
108	0,635	0,342	0,705	0,803	0,690
109	0,635	0,668	0,287	0,782	0,803
110	0,625	0,733	0,336	0,723	0,707
111	0,559	0,722	0,368	0,579	0,567
112	0,534	0,636	0,155	0,631	0,715
113	0,520	0,638	0,373	0,604	0,466
